,Covid-19,H1N1,EBOLA,SARS
0,17.0,172.0,1553,4.0
1,18.0,182.0,2105,4.0
2,26.0,184.0,2296,9.0
3,42.0,190.0,2226,10.0
4,56.0,198.0,2461,10.0
5,82.0,230.0,2630,11.0
6,131.0,282.0,2811,17.0
7,133.0,288.0,2917,17.0
8,171.0,290.0,3091,49.0
9,213.0,326.0,3338,53.0
10,259.0,334.0,3439,53.0
11,362.0,360.0,3865,54.0
12,426.0,462.0,4032,58.0
13,492.0,476.0,4493,62.0
14,564.0,526.0,4555,78.0
15,634.0,311.0,4877,79.0
16,719.0,234.0,4922,84.0
17,806.0,250.0,4920,89.0
18,906.0,278.0,4951,98.0
19,1013.0,664.0,4818,103.0
20,1113.0,764.0,4960,106.0
21,1118.0,858.0,5160,111.0
22,1371.0,,5177,116.0
23,1523.0,,5420,119.0
24,1666.0,,5459,144.0
25,1770.0,,5689,154.0
26,1868.0,,6002,159.0
27,2007.0,,6070,165.0
28,2122.0,,6388,182.0
29,2247.0,,6856,182.0
30,2251.0,,6915,217.0
31,2458.0,,7533,229.0
32,2469.0,,7580,251.0
33,2629.0,,7588,263.0
34,2708.0,,7708,274.0
35,2770.0,,7857,293.0
36,2814.0,,7894,321.0
37,2872.0,,7905,353.0
38,2941.0,,8004,372.0
39,2996.0,,8168,391.0
40,3085.0,,8235,417.0
41,3160.0,,8235,435.0
42,3254.0,,8265,461.0
43,3348.0,,8295,478.0
44,3460.0,,8377,495.0
45,3558.0,,8377,506.0
46,3802.0,,8429,514.0
47,3988.0,,8459,526.0
48,4262.0,,8483,552.0
49,4615.0,,8609,573.0
50,4720.0,,8641,587.0
51,5404.0,,8641,598.0
52,5819.0,,8683,611.0
53,6440.0,,8690,623.0
54,7126.0,,8752,643.0
55,7905.0,,8810,662.0
56,8733.0,,8810,666.0
57,9867.0,,8833,682.0
58,11299.0,,8844,689.0
59,12973.0,,8936,696.0
60,14651.0,,8974,725.0
61,16505.0,,8981,735.0
62,18625.0,,8994,745.0
63,21181.0,,9019,750.0
64,23970.0,,9177,754.0
65,27198.0,,9177,764.0
66,30652.0,,9209,770.0
67,33925.0,,9268,772.0
68,37582.0,,9368,772.0
69,42107.0,,9380,775.0
70,46809.0,,9380,779.0
71,52983.0,,9452,784.0
72,58787.0,,9457,789.0
73,64606.0,,9556,789.0
74,69374.0,,9604,790.0
75,74565.0,,9652,792.0
76,81865.0,,9675,799.0
77,88338.0,,9729,799.0
78,95455.0,,9729,801.0
79,102525.0,,9838,804.0
80,108503.0,,9855,804.0
81,114091.0,,9976,805.0
82,119482.0,,9976,807.0
83,,,10019,808.0
84,,,10111,809.0
85,,,10159,810.0
86,,,10194,811.0
87,,,10194,812.0
88,,,10251,812.0
89,,,10314,812.0
90,,,10326,812.0
91,,,10326,812.0
92,,,10353,812.0
93,,,10365,812.0
94,,,10588,812.0
95,,,10599,813.0
96,,,10619,
97,,,10626,
98,,,10704,
99,,,10714,
100,,,10717,
101,,,10730,
102,,,10736,
103,,,10823,
104,,,10835,
105,,,10839,
106,,,10857,
107,,,10899,
108,,,10905,
109,,,10907,
110,,,10910,
111,,,10995,
112,,,11020,
113,,,11022,
114,,,11022,
115,,,11079,
116,,,11080,
117,,,11079,
118,,,11087,
119,,,11089,
120,,,11132,
121,,,11135,
122,,,11135,
123,,,11137,
124,,,11140,
125,,,11147,
126,,,11149,
127,,,11149,
128,,,11155,
129,,,11157,
130,,,11160,
131,,,11162,
132,,,11162,
133,,,11164,
134,,,11164,
135,,,11169,
136,,,11173,
137,,,11173,
138,,,11178,
139,,,11178,
140,,,11183,
141,,,11184,
142,,,11184,
143,,,11188,
144,,,11193,
145,,,11205,
146,,,11222,
147,,,11222,
148,,,11232,
149,,,11232,
150,,,11235,
151,,,11235,
152,,,11235,
153,,,11244,
154,,,11253,
155,,,11260,
156,,,11261,
157,,,11261,
158,,,11268,
159,,,11268,
160,,,11274,
161,,,11276,
162,,,11276,
163,,,11276,
164,,,11279,
165,,,11283,
166,,,11284,
167,,,11284,
168,,,11288,
169,,,11289,
170,,,11293,
171,,,11294,
172,,,11294,
173,,,11295,
174,,,11295,
175,,,11296,
176,,,11296,
177,,,11296,
178,,,11298,
179,,,11298,
180,,,11298,
181,,,11298,
182,,,11298,
183,,,11298,
184,,,11299,
185,,,11299,
186,,,11299,
187,,,11299,
188,,,11301,
189,,,11301,
190,,,11302,
191,,,11302,
192,,,11302,
193,,,11303,
194,,,11303,
195,,,11304,
196,,,11305,
197,,,11305,
198,,,11305,
199,,,11305,
200,,,11306,
201,,,11306,
202,,,11306,
203,,,11306,
204,,,11306,
205,,,11306,
206,,,11306,
207,,,11306,
208,,,11308,
209,,,11309,
210,,,11310,
211,,,11310,
212,,,11310,
213,,,11311,
214,,,11311,
215,,,11311,
216,,,11311,
217,,,11311,
218,,,11311,
219,,,11311,
220,,,11312,
221,,,11312,
222,,,11312,
223,,,11312,
224,,,11312,
225,,,11312,
226,,,11312,
227,,,11313,
228,,,11313,
229,,,11313,
230,,,11313,
231,,,11313,
232,,,11313,
233,,,11314,
234,,,11314,
235,,,11314,
236,,,11314,
237,,,11314,
238,,,11314,
239,,,11314,
240,,,11314,
241,,,11314,
242,,,11314,
243,,,11314,
244,,,11314,
245,,,11314,
246,,,11314,
247,,,11315,
248,,,11315,
249,,,11315,
250,,,11315,
251,,,11315,
252,,,11315,
253,,,11315,
254,,,11315,
255,,,11315,
256,,,11315,
257,,,11315,
258,,,11319,
